HH_ZeroBasedRecordID	GENDER	COMBINED AGE	EDUCATION MODEL	MARITAL STATUS	OCCUPATION GROUP V2	CITY NAME	STATE ABBREVIATION	Political Contributor	Religious Contributor	MAIL RESPONDER	Opportunity seeker	DWELLING UNIT SIZE	DWELLING TYPE	Num_Adults in LU	Religious Magazine	Upscale Merch Buyer	General Contributor	General Merch buyer	Gifts and Gadgets Buyer	Gardening Buyer	Gardening Magazinr	Sports Magazine Male	News and finance	fitness magazine	Health Contributor	Male Merch Buyer	Female Orient Magazine	Culinary Magazine	D-I-Yers	Crafts Hobby Buyer	Female Merch buyer	Special Foods Buyer	Family Magazine	CHILDREN: AGE 0-18 VERSION 3	LENGTH OF RESIDENCE	HTZ_CUSTID	HTZ_CITY	HTZ_ZIP	HTZ_STATE	EST HOUSEHOLD INCOME V5	CURRENT_TIER	GPR_ENROLL_DATE	EMAIL_OPTIN	AP_RNTLS	OAP_RNTLS	INS_ANCIL_RNTLS	NONINS_ANCIL_RNTLS	EARNED_PTS	D_RNTLS	ID_RNTLS	NUM_1D_RNTLS	NUM_2D_RNTLS	NUM_3D_RNTLS	NUM_4D_RNTLS	NUM_5D_RNTLS	NUM_GT5D_RNTLS	REVENUE	NUM_RENTALS
101603303	M	E40	53	1M	I1	SAN ANTONIO	TX	0	0	U	0	A	S	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5Y	5	204328930	SAN ANTONIO	78260	TX 	G	RG	1/6/2003	Y	14	0	0	0	275	14	0	2	1	7	4	0	12	1715.5	14
124867436	M	E63	54	1M	I1	MILL VALLEY	CA	0	0	M	0	A	S	2	0	0	0	1	1	0	1	1	0	4	1	0	0	0	1	0	0	0	0	5N	22	204328932	MILL VALLEY	94941	CA 	J	RG	3/29/1989	Y	2	0	0	0	0	1	1	2	0	0	0	0	0	96.75	2
128446837	M	E71	14	0U	K3	HONOLULU	HI	0	0	Y	0	I	A	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5Y	11	204328937	HONOLULU	96814	HI 	E	RG	10/20/1994	N	2	1	0	0	0	1	2	0	0	0	0	2	3	593.6	3
130072763	M	E59	54	1M	I3	MEDFORD	OR	0	0	M	0	A	S	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	5N	23	204328955	MEDFORD	97504505383	OR 	F	RG	8/26/1994	Y	13	1	4	0	2727	14	0	0	6	2	3	0	14	2713.57	14
62575040	F	E63	12	5U	K1	OXFORD	OH	0	0	M	0	A	S	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5N	24	204328965	OXFORD	45056	OH 	E	RG	11/12/2012	Y	0	2	2	0	325	2	0	2	0	0	0	0	0	356.05	2
114157395	F	E28	53	0U	I3	LOS ANGELES	CA	0	0	U	0	A	S	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5N	15	204328969	LOS ANGELES	90049234091	CA 	J	RG	10/14/1997	Y	1	0	0	0	126	1	0	0	1	0	0	0	1	114.66	1
102737479	F	E56	54	5M	I3	AUSTIN	TX	0	0	U	0	A	S	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5N	12	204328972	AUSTIN	78717390412	TX 	L	FG	2/17/2005	Y	19	1	0	0	3143	6	16	1	10	2	7	1	21	2061.96	22
24213257	M	E38	53	5M	I4	BOWIE	MD	0	0	U	0	A	S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5Y	10	204328975	BOWIE	20721122906	MD 	L	RG	9/27/2007	N	5	0	0	0	562	0	5	1	1	1	1	1	4	587	5
37490200	F	E46	54	5M	K5	SUWANEE	GA	3	1	M	0	A	S	3	0	1	0	4	2	0	0	1	0	8	4	0	0	1	0	1	2	0	4	1Y	9	204328982	SUWANEE	30024233445	GA 	E	RG	8/23/1997	Y	0	1	1	0	0	0	1	0	0	0	0	1	1	191.1	1
126100080	F	E48	14	1M	K5	TRACY	CA	0	0	M	0	A	S	2	0	0	0	1	1	0	0	1	0	6	0	0	1	1	0	0	0	0	0	5N	6	204328989	TRACY	95376495727	CA 	F	RG	6/7/2005	Y	0	1	1	0	335	1	0	0	1	0	0	0	1	59.98	1
80479481	M	E48	14	5M	I1	NAPERVILLE	IL	0	0	U	0	A	S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1Y	19	204329037	NAPERVILLE	60564	IL 	J	RG	11/14/2011	Y	21	0	0	0	2666	0	21	0	0	2	9	0	21	4127.3	21
125562808	M	E50	54	5M	I2	SAN JOSE	CA	0	0	Y	0	A	S	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5Y	14	204329039	SAN JOSE	95135172622	CA 	H	PC	2/18/2006	N	1	0	0	0	0	0	1	0	0	0	0	0	1	530.99	1
52389823	M	E62	53	1M	I1	MOBILE	AL	0	0	M	5	A	S	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5N	13	204329043	MOBILE	36693272725	AL 	F	RG	12/30/2002	N	2	0	0	0	0	1	1	0	1	0	1	0	2	182.45	2
48999600	F	E78	53	5U	I9	LONGBOAT KEY	FL	0	0	Y	0	A	S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5N	11	204329045	LONGBOAT KEY	34228	FL 	H	RG	5/1/2010	N	1	0	0	0	275	1	0	0	0	1	0	0	1	81	1
105161658	M	E51	13	5M	I1	BOULDER	CO	0	0	M	0	A	S	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5U	11	204329079	BOULDER	80303121417	CO 	L	FG	4/24/2003	N	61	2	0	0	9890	3	64	3	16	30	17	0	64	8030.26	67
45649745	M	E61	53	5M	K6	MIAMI	FL	0	0	M	0	A	S	3	0	0	0	1	0	0	1	0	0	1	2	0	0	1	1	0	0	0	1	5N	31	204329082	MIAMI	33173203352	FL 	E	RG	8/13/2010	N	2	5	0	0	0	7	0	2	1	3	1	0	5	711.85	7
17898681	M	E55	54	1M	K1	SEWICKLEY	PA	0	0	U	0	A	S	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5Y	12	204329083	SEWICKLEY	15143872705	PA 	L	RG	2/20/2001	Y	6	0	0	0	0	6	0	0	0	1	3	0	6	1781.14	6
55113591	M	E41	52	0U	K1	GERMANTOWN	TN	0	0	M	0	A	S	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5U	3	204329084	GERMANTOWN	38138	TN 	H	RG	1/8/2012	Y	1	0	0	0	0	1	3	0	1	0	0	2	4	666.63	4
56895657	M	I51	53	5M	I3	STARKVILLE	MS	0	0	U	0	A	S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5U	1	204329088	STARKVILLE	39759	CA 	G	RG	1/7/1993	Y	2	0	0	0	626	2	0	1	1	0	0	0	1	189.42	2
3362441	M	E82	53	0U	I9	MERRIMACK	NH	0	0	M	0	A	S	4	0	0	0	0	0	0	0	1	2	6	1	0	0	0	0	0	0	0	1	1Y	14	204329093	MERRIMACK	3054487820	NH 	E	RG	3/27/2012	Y	0	1	0	0	0	1	0	0	0	0	1	0	1	180.48	1
75933204	F	E37	53	0U	I8	SAVAGE	MN	0	0	U	0	A	S	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1Y	2	204329097	SAVAGE	55378	MN 	G	FG	11/21/2011	Y	28	1	0	0	3727	2	27	2	5	9	11	0	27	3204	29
64107721	M	E52	53	1M	I1	NOBLESVILLE	IN	0	0	M	0	A	S	3	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1Y	10	204329101	NOBLESVILLE	46062419343	IN 	H	RG	12/22/2000	Y	10	0	0	0	275	10	1	3	0	1	3	0	8	2609.43	11
113383152	F	E72	51	1M	I9	CARSON CITY	NV	0	0	M	0	A	S	3	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	5N	17	204329102	CARSON CITY	89703836708	NV 	E	RG	6/5/2005	Y	11	1	0	0	275	12	0	10	0	1	1	0	2	805.19	12
13846550	M	E53	55	1M	I6	WEST BABYLON	NY	2	0	M	4	A	S	3	0	0	0	2	1	0	0	1	0	1	0	0	0	0	1	0	2	0	2	1Y	53	204329121	WEST BABYLON	11704733587	NY 	E	RG	2/3/2004	N	1	0	0	0	0	1	0	1	0	0	0	0	0	42.31	1
122926724	M	E75	54	5M	I9	PORTOLA VALLEY	CA	0	1	M	1	A	S	2	0	0	1	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0	2	5N	16	204329123	PORTOLA VALLEY	94028	CA 	G	RG	2/3/2000	Y	12	0	0	0	1466	14	0	1	3	2	2	0	13	2679.0217	14
3831731	F	E62	12	0U	K3	GREENLAND	NH	0	0	M	0	A	S	2	0	0	0	0	0	0	1	0	0	4	0	0	1	1	0	0	0	0	1	5N	22	204329125	GREENLAND	38402303	NH 	C	RG	3/19/2002	N	13	0	0	0	1747	14	1	3	2	3	3	1	12	2020.6768	15
129307455	M	E44	14	5M	I2	PORTLAND	OR	0	0	U	0	A	S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5U	6	204329128	PORTLAND	97221	OR 	J	RG	1/14/1998	Y	3	2	1	0	247	4	1	1	1	1	0	0	4	1790.52	5
90534029	M	E49	11	1M	K3	HOT SPRINGS VILLAGE	AR	0	0	M	0	A	S	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1Y	13	204329135	HOT SPRINGS VILLAGE	71909767402	AR 	F	RG	10/5/2011	Y	8	0	8	0	5688	6	2	0	2	0	2	1	8	4137.53	8
78549879	M	E58	55	5M	K3	BARRINGTON	IL	0	0	Y	0	A	S	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5U	14	204329150	BARRINGTON	60010880212	IL 	H	FG	5/15/1999	Y	19	1	2	0	0	15	5	1	3	4	3	1	19	6034.06	20
48031221	M	E72	13	1M	I9	DAVENPORT	FL	0	0	Y	0	A	S	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5N	1	204329151	DAVENPORT	33837	FL 	F	RG	11/15/2011	Y	9	0	1	0	1616	2	7	1	0	2	1	0	8	1622.35	9
125749477	M	E67	54	0U	I9	LODI	CA	0	0	Y	0	A	S	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1Y	12	204329152	LODI	95240055050	CA 	L	FG	4/11/1994	Y	47	0	1	0	6564	48	0	5	29	9	4	0	43	6776.95	48
42334459	M	E36	53	0U	I1	JACKSONVILLE	FL	0	0	M	0	A	S	6	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1Y	11	204329164	JACKSONVILLE	32225	FL 	D	RG	4/12/2015	N	3	0	0	0	601	3	0	1	2	0	0	0	2	181.29	3
12644678	M	E47	53	1M	I1	BROOKLYN	NY	0	0	U	0	C	A	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5U	7	204329204	BROOKLYN	11231	NY 	L	PC	1/24/2011	Y	4	3	0	0	275	8	0	0	1	5	2	0	8	2094.04	8
52879834	M	E61	13	5M	K6	GOODLETTSVILLE	TN	0	0	U	0	A	S	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1Y	15	204329213	GOODLETTSVILLE	37072357620	TN 	H	RG	5/16/1996	Y	1	0	1	0	0	1	0	1	0	0	0	0	0	95.76	1
52830795	M	E40	53	1M	I2	FRANKLIN	TN	0	0	U	0	A	S	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1Y	1	204329250	FRANKLIN	37064	TN 	J	RG	4/30/2012	Y	15	1	1	0	1323	14	2	9	5	1	1	0	7	1353.41	16
92354468	M	E62	13	1M	K1	OKLAHOMA CITY	OK	1	0	M	0	A	S	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5N	2	204329272	OKLAHOMA CITY	73170	FL 	J	PC	3/2/2011	Y	98	0	0	0	15726	98	0	14	18	37	24	0	84	10383.65	98
31461766	M	E46	14	1M	K3	CARY	NC	0	0	U	0	A	S	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1Y	9	204329277	CARY	27519	NC 	H	RG	10/8/1998	N	1	0	0	0	275	0	1	1	0	0	0	0	0	46.89	1
14082703	M	E60	13	1M	K4	JERICHO	NY	0	0	U	0	A	S	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5N	12	204329289	JERICHO	11753141633	NY 	L	FG	6/29/1995	Y	17	1	0	0	1576	31	1	14	10	5	0	0	18	4215.93	32
105915627	F	E52	13	1M	K1	COLORADO SPRINGS	CO	0	0	M	0	A	P	3	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1Y	5	204329290	COLORADO SPRINGS	80962	CO 	H	RG	5/11/2012	Y	3	0	0	0	890	1	2	0	0	0	3	0	3	462.18	3
113894675	M	E52	51	1M	I1	LOS ANGELES	CA	0	0	M	0	A	S	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5Y	36	204329291	LOS ANGELES	90032	CA 	G	RG	2/4/2009	Y	4	0	0	0	0	2	2	0	2	1	1	0	4	429	4
2501928	M	E64	13	1M	K2	CHATHAM	MA	0	0	Y	0	A	S	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5N	27	204329315	CHATHAM	2633	MA 	I	RG	1/15/2014	Y	0	1	0	0	0	1	0	0	0	1	0	0	1	70.2	1
33407325	F	E33	12	5M	K3	CHARLOTTE	NC	0	0	U	0	A	S	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1Y	10	204329336	CHARLOTTE	28269096719	NC 	E	RG	6/25/2011	Y	6	0	0	0	2704	2	4	0	1	0	2	0	6	1167.75	6
108845908	M	E63	54	1M	I1	GOLD CANYON	AZ	2	0	M	0	A	S	4	0	0	0	1	0	0	0	2	2	6	0	0	0	0	0	0	0	0	2	5N	10	204329338	GOLD CANYON	85118180650	AZ 	K	RG	10/28/2010	Y	1	0	0	0	0	0	1	0	0	0	0	0	1	203.55	1
23839140	F	E46	53	1M	K1	STERLING	VA	0	0	M	0	A	S	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5N	12	204329339	STERLING	20164	VA 	F	RG	12/7/2009	Y	6	0	0	0	1194	3	3	1	2	1	0	0	5	1439.5	6
67121116	F	E48	51	1M	I8	SOUTHFIELD	MI	0	0	U	0	A	S	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1Y	15	204329343	SOUTHFIELD	48076	MI 	I	RG	7/27/2009	Y	2	18	0	0	2813	19	1	0	1	8	9	1	20	3443.2	20
10571298	F	E62	54	5U	I5	NEW YORK	NY	0	0	M	0	G	A	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	5N	17	204329345	NEW YORK	10065707651	NY 	F	PL		N	0	0	0	0	0	2	0	0	1	0	0	0	2	1893.0894	2
